"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"AERO SPACE ENGINEERING-
TFWS","SILVER OAK COLLEGE OF ENGG., & TECH.
(WITHIN AMHEDABAD MUNICIPAL
CORPORATION LIMIT), AHMEDABAD","TFWs","GUJCET Based","Self-Finance","34230.00","50232.00"
"AERONAUTICAL
ENGINEERING","PARUL INSTITUTE OF ENGINEERING &
TECHNOLOGY, WAGHODIA, VADODARA","GEN","GUJCET Based","Self-Finance","13627.00","24026.00"
"AERONAUTICAL
ENGINEERING","SARDAR VALLABHBHAI PATEL INSTITUTE OF
TECH.,VASAD","GEN","GUJCET Based","Self-Finance","27610.00","50351.00"
"AGRICULTURAL
ENGINEERING","GANPAT UNIVERSITY, U.V.PATEL COLLEGE OF
ENGINEERING, KHERVA, MEHSANA","GEN","GUJCET Based","Self-Finance","8853.00","20219.00"
"AGRICULTURAL
ENGINEERING","PARUL INSTITUTE OF TECHNOLOGY,
WAGHODIA, VADODARA","GEN","GUJCET Based","Self-Finance","13319.00","50031.00"
"ARTIFICIAL INTELLIGENCE","SWARRNIM INSTITUTE OF TECHNOLOGY","GEN","GUJCET Based","Self-Finance","19489.00","19489.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","EWS","GUJCET Based","Self-Finance","20969.00","22975.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","GEN","GUJCET Based","Self-Finance","13168.00","19924.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","SEBC","GUJCET Based","Self-Finance","27013.00","38163.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","CHHOTUBHAI GOPALBHAI PATEL INSTITUTE OF
TECH., TARSADI, BARDOLI","GEN","GUJCET Based","Self-Finance","32052.00","32052.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","GOVERNMENT ENGINEERING COLLEGE, RAJKOT","EWS","GUJCET Based","Govt / GIA","12068.00","14358.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","GOVERNMENT ENGINEERING COLLEGE, RAJKOT","GEN","GUJCET Based","Govt / GIA","5740.00","10956.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","GOVERNMENT ENGINEERING COLLEGE, RAJKOT","SC","GUJCET Based","Govt / GIA","34281.00","34281.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","GOVERNMENT ENGINEERING COLLEGE, RAJKOT","SEBC","GUJCET Based","Govt / GIA","11367.00","17888.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","GOVERNMENT ENGINEERING COLLEGE, RAJKOT","GEN","JEE Based","Govt / GIA","902018.00","902018.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","GOVERNMENT ENGINEERING COLLEGE, RAJKOT","SC","JEE Based","Govt / GIA","910135.00","910135.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","GOVERNMENT ENGINEERING COLLEGE, RAJKOT","SEBC","JEE Based","Govt / GIA","905600.00","905600.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","JG UNIVERSITY - SCHOOL OF ENGINEERING,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","50419.00","50419.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","EWS","GUJCET Based","Self-Finance","23976.00","24379.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","8904.00","22840.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","SC","GUJCET Based","Self-Finance","38948.00","38948.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","SEBC","GUJCET Based","Self-Finance","28949.00","31938.00"
"ARTIFICIAL INTELLIGENCE
AND DATA SCIENCE","PARUL INSTITUTE OF ENGINEERING &
TECHNOLOGY, WAGHODIA, VADODARA","GEN","GUJCET Based","Self-Finance","20977.00","20977.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
