"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","EWS","GUJCET Based","GIA","17808.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","GEN","GUJCET Based","GIA","16351.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","SC","GUJCET Based","GIA","33801.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","SEBC","GUJCET Based","GIA","20733.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","ST","GUJCET Based","GIA","28078.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","GEN","JEE Based","GIA","904604.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING - TFWS","TFWS","GUJCET Based","GIA","11664.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","EWS","GUJCET Based","GIA","2011.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","GEN","GUJCET Based","GIA","1717.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","SC","GUJCET Based","GIA","8211.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","SEBC","GUJCET Based","GIA","2918.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","EWS","JEE Based","GIA","900771.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","GEN","JEE Based","GIA","900281.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","SEBC","JEE Based","GIA","901010.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING - TFWS","TFWS","GUJCET Based","GIA","860.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","EWS","GUJCET Based","GIA","11308.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","GEN","GUJCET Based","GIA","10159.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","SC","GUJCET Based","GIA","22660.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","SEBC","GUJCET Based","GIA","13697.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","GEN","JEE Based","GIA","902040.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","SEBC","JEE Based","GIA","904822.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING - TFWS","TFWS","GUJCET Based","GIA","7824.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","EWS","GUJCET Based","GIA","8728.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","GEN","GUJCET Based","GIA","6578.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","SEBC","GUJCET Based","GIA","11269.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","GEN","JEE Based","GIA","900940.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","SEBC","JEE Based","GIA","902536.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","ST","JEE Based","GIA","924634.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING-
TFWS","TFWS","GUJCET Based","GIA","4504.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","EWS","GUJCET Based","GIA","10656.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","GEN","GUJCET Based","GIA","9157.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","SC","GUJCET Based","GIA","20243.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","SEBC","GUJCET Based","GIA","13369.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","ST","GUJCET Based","GIA","29655.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","SC","JEE Based","GIA","906144.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","PRODUCTION ENGINEERING","EWS","GUJCET Based","GIA","38356.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","PRODUCTION ENGINEERING","GEN","GUJCET Based","GIA","34014.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","PRODUCTION ENGINEERING","SEBC","GUJCET Based","GIA","36833.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","PRODUCTION ENGINEERING","GEN","JEE Based","GIA","905352.00"
"BIRLA VISHVAKARMA MAHA
VIDHYALAYA(GIA), V.V.NAGAR","PRODUCTION ENGINEERING -
TFWS","TFWS","GUJCET Based","GIA","22117.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CHEMICAL ENGINEERING","EWS","GUJCET Based","GIA","5747.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CHEMICAL ENGINEERING","GEN","GUJCET Based","GIA","4429.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CHEMICAL ENGINEERING","SEBC","GUJCET Based","GIA","5892.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL ENGINEERING","EWS","GUJCET Based","GIA","14124.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL ENGINEERING","GEN","GUJCET Based","GIA","13073.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL ENGINEERING","SC","GUJCET Based","GIA","23499.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL ENGINEERING","SEBC","GUJCET Based","GIA","18445.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL ENGINEERING","ST","GUJCET Based","GIA","28908.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL ENGINEERING","ESM","JEE Based","GIA","922121.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL ENGINEERING","GEN","JEE Based","GIA","902767.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL IRRIGATION WATER
MANAGEMENT","GEN","GUJCET Based","GIA","50430.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","CIVIL IRRIGATION WATER
MANAGEMENT","GEN","JEE Based","GIA","932149.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","COMPUTER SCIENCE &
ENGINEERING","EWS","GUJCET Based","GIA","1477.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","COMPUTER SCIENCE &
ENGINEERING","GEN","GUJCET Based","GIA","1087.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","COMPUTER SCIENCE &
ENGINEERING","SC","GUJCET Based","GIA","6695.00"
